synopsis-3,describes-4,version-7:recipient
Ashitaka-18,'s-19,weak-23:dependent
Ashitaka-1,lies-2,there-3:modifier
<NULL>,ebbed-15,not-5:negative
strength-8,comes-10,curse-13:raw_material
<NULL>,draws-18,sword-22:recipient
<NULL>,draws-18,sword-22:recipient
<NULL>,kill-14,<NULL>
<NULL>,draws-18,sword-22:recipient
<NULL>,threatens-12,<NULL>
Ashitaka-4,calls-7,San-8:recipient
Ashitaka-4,calls-7,off-9:verb_complement
San-6,calls-7,San-8:recipient
San-6,calls-7,off-9:verb_complement
<NULL>,draws-18,sword-22:recipient
<NULL>,draws-18,sword-22:recipient
<NULL>,kill-14,<NULL>
<NULL>,draws-18,sword-22:recipient
<NULL>,threatens-12,<NULL>
wolves-2,threaten-3,<NULL>
<NULL>,killing-10,Lady_Eboshi-11:recipient
herself-1,demands-2,<NULL>
Ashitaka-6,stopped-7,herself-8:recipient
Ashitaka-6,stopped-7,why-5:modifier
Ashitaka-1,'s-2,<NULL>
Ashitaka-10,wanted-11,<NULL>
Ashitaka-1,tries-7,<NULL>
herself-4,'s-5,<NULL>
which-8,shocks-9,herself-10:recipient
Ashitaka-2,says-3,Then-1:modifier
clan-7,want-11,also-10:modifier
clan-7,interrupted-3,herself-1:recipient
Ashitaka-9,gain-11,will-10:modal_verb
Ashitaka-9,gain-11,strength-14:recipient
Ashitaka-5,eat-6,Ashitaka-7:recipient
Ashitaka-9,gain-11,will-10:modal_verb
Ashitaka-9,gain-11,strength-14:recipient
Ashitaka-1,believe-2,<NULL>
San-8,tries-9,<NULL>
wolves-2,threaten-3,apes-5:recipient
herself-19,gains-20,trust-18:recipient
herself-1,places-12,Ashitaka-13:recipient
herself-19,gains-20,trust-18:recipient
herself-1,convinces-2,wolves-4:recipient
San-28,cross-29,lake-31:recipient
San-28,cross-29,where-27:modifier
San-28,cross-29,island-34:attachment
San-13,takes-14,heart-20:attachment
San-13,takes-14,Domain-3:is_participant_in
San-13,takes-14,Ashitaka-17:recipient
Yakul-12,set-17,will-13:modal_verb
Yakul-12,set-17,foot-18:recipient
island-2,is-3,forest-5:recipient
San-1,tells-2,<NULL>
<NULL>,pillowed-13,<NULL>
She-26,cut-27,earlier-28:modifier
She-26,cut-27,head-35:site
<NULL>,sticking-22,tree-25:recipient
She-1,leaves-2,<NULL>
She-1,removes-2,harness-5:recipient
Walker-24,comes-19,view-21:modified_to
<NULL>,rotating-11,<NULL>
